"Id_Nomenclature","Cd_Nomenclature","Description","Long_Label","Short_Label","Id_Nomenclature_Parent"
"1","FormsButtonTypes",NULL,NULL,NULL,NULL
"2","JSWindowOpen",NULL,NULL,NULL,NULL
"3","NotificationNewWindowWhitelist",NULL,NULL,NULL,NULL
"4","FormsButtonWhitelist",NULL,NULL,NULL,NULL
"5","FormsButtonBlacklist",NULL,NULL,NULL,NULL
"6","LinkTextWhitelist",NULL,NULL,NULL,NULL
"7","LinkTextBlacklist",NULL,NULL,NULL,NULL
"8","PossibleImageTags",NULL,NULL,NULL,NULL
"9","UnrelativeCssUnits",NULL,NULL,NULL,NULL
"10","ValidLanguageCode",NULL,NULL,NULL,NULL
"11","DeprecatedRepresentationTags",NULL,NULL,NULL,NULL
"12","UnexplicitPageTitle",NULL,NULL,NULL,NULL
"13","ImageFileExtensions",NULL,NULL,NULL,NULL
"14","MediaListNotAcceptingRelativeUnits",NULL,NULL,NULL,NULL
"15","DeprecatedRepresentationAttributes",NULL,NULL,NULL,NULL
"16","DeprecatedRepresentationAttributesWithExceptions",NULL,NULL,NULL,NULL
"17","RecommendedDoctypeDeclarations",NULL,NULL,NULL,NULL
"18","XhtmlDoctypeDeclarations",NULL,NULL,NULL,NULL
"19","RecommendedCaseInsensitiveDoctypeDeclarations",NULL,NULL,NULL,NULL
"20","DeprecatedRepresentationTagsV2",NULL,NULL,NULL,NULL
"21","DeprecatedRepresentationAttributesV2",NULL,NULL,NULL,NULL
"22","OfficeDocumentExtensions",NULL,NULL,NULL,NULL
"23","BrowserReadableExtensions",NULL,NULL,NULL,NULL
"24","DownloadableDocumentExtensions",NULL,NULL,NULL,NULL
"25","RelativeCssUnits",NULL,NULL,NULL,NULL
