"Id_Accedeweb","Cd_Accedeweb","Description","Label","Rank","Dtype","Cd_Rgaa3","Id_Test_Id"
"539","Rgaa32017-1-1-1-Accedeweb-GRAPH-2-3",NULL,NULL,"1","G","Rgaa32017-1-1-1","1"
"540","Rgaa32017-1-1-1-Accedeweb-HTML-6-3",NULL,NULL,"2","H","Rgaa32017-1-1-1","1"
"541","Rgaa32017-1-1-1-Accedeweb-EDIT-4-1",NULL,NULL,"3","E","Rgaa32017-1-1-1","1"
"542","Rgaa32017-1-1-1-Accedeweb-EDIT-4-2",NULL,NULL,"4","E","Rgaa32017-1-1-1","1"
"543","Rgaa32017-1-1-2-Accedeweb-GRAPH-2-3",NULL,NULL,"5","G","Rgaa32017-1-1-2","2"
"544","Rgaa32017-1-1-2-Accedeweb-HTML-13",NULL,NULL,"6","H","Rgaa32017-1-1-2","2"
"545","Rgaa32017-1-1-2-Accedeweb-EDIT-4-1",NULL,NULL,"7","E","Rgaa32017-1-1-2","2"
"546","Rgaa32017-1-1-2-Accedeweb-EDIT-4-2",NULL,NULL,"8","E","Rgaa32017-1-1-2","2"
"547","Rgaa32017-1-1-3-Accedeweb-GRAPH-2-3",NULL,NULL,"9","G","Rgaa32017-1-1-3","3"
"548","Rgaa32017-1-1-3-Accedeweb-HTML-6-3",NULL,NULL,"10","H","Rgaa32017-1-1-3","3"
"549","Rgaa32017-1-1-3-Accedeweb-EDIT-4-2",NULL,NULL,"11","E","Rgaa32017-1-1-3","3"
"550","Rgaa32017-1-1-3-Accedeweb-GRAPH-2-3",NULL,NULL,"12","G","Rgaa32017-1-1-3","3"
"551","Rgaa32017-1-2-1-Accedeweb-GRAPH-2-3",NULL,NULL,"13","G","Rgaa32017-1-2-1","5"
"552","Rgaa32017-1-2-1-Accedeweb-HTML-6-3",NULL,NULL,"14","H","Rgaa32017-1-2-1","5"
"553","Rgaa32017-1-2-1-Accedeweb-EDIT-4-1",NULL,NULL,"15","E","Rgaa32017-1-2-1","5"
"554","Rgaa32017-1-2-2-Accedeweb-GRAPH-2-3",NULL,NULL,"16","G","Rgaa32017-1-2-2","6"
"555","Rgaa32017-1-2-2-Accedeweb-EDIT-4-1",NULL,NULL,"17","E","Rgaa32017-1-2-2","6"
"556","Rgaa32017-1-2-3-Accedeweb-GRAPH-2-3",NULL,NULL,"18","G","Rgaa32017-1-2-3","7"
"557","Rgaa32017-1-2-3-Accedeweb-EDIT-4-1",NULL,NULL,"19","E","Rgaa32017-1-2-3","7"
"558","Rgaa32017-1-2-4-Accedeweb-HTML-6-2",NULL,NULL,"20","H","Rgaa32017-1-2-4","8"
"559","Rgaa32017-1-2-4-Accedeweb-EDIT-4-1",NULL,NULL,"21","E","Rgaa32017-1-2-4","8"
"560","Rgaa32017-1-2-5-Accedeweb-EDIT-4-1",NULL,NULL,"22","E","Rgaa32017-1-2-5","9"
"561","Rgaa32017-1-2-6-Accedeweb-EDIT-4-1",NULL,NULL,"23","E","Rgaa32017-1-2-6","10"
"562","Rgaa32017-1-3-1-Accedeweb-GRAPH-2-3",NULL,NULL,"24","G","Rgaa32017-1-3-1","11"
"563","Rgaa32017-1-3-1-Accedeweb-HTML-6-3",NULL,NULL,"25","H","Rgaa32017-1-3-1","11"
"564","Rgaa32017-1-3-1-Accedeweb-EDIT-4-2",NULL,NULL,"26","E","Rgaa32017-1-3-1","11"
"565","Rgaa32017-1-3-2-Accedeweb-GRAPH-2-3",NULL,NULL,"27","G","Rgaa32017-1-3-2","12"
"566","Rgaa32017-1-3-2-Accedeweb-HTML-13",NULL,NULL,"28","H","Rgaa32017-1-3-2","12"
"567","Rgaa32017-1-3-2-Accedeweb-EDIT-4-2",NULL,NULL,"29","E","Rgaa32017-1-3-2","12"
"568","Rgaa32017-1-3-3-Accedeweb-GRAPH-2-3",NULL,NULL,"30","G","Rgaa32017-1-3-3","13"
"569","Rgaa32017-1-3-3-Accedeweb-HTML-6-3",NULL,NULL,"31","H","Rgaa32017-1-3-3","13"
"570","Rgaa32017-1-3-3-Accedeweb-EDIT-4-2",NULL,NULL,"32","E","Rgaa32017-1-3-3","13"
"571","Rgaa32017-1-3-4-Accedeweb-GRAPH-2-3",NULL,NULL,"33","G","Rgaa32017-1-3-4","14"
"572","Rgaa32017-1-3-4-Accedeweb-EDIT-4-2",NULL,NULL,"34","E","Rgaa32017-1-3-4","14"
"573","Rgaa32017-1-3-5-Accedeweb-GRAPH-2-3",NULL,NULL,"35","G","Rgaa32017-1-3-5","15"
