"Id_Criterion","Cd_Criterion","Description","Label","Rank","Url","Reference_Id_Reference","Theme_Id_Theme"
"1","Rgaa32017-1-1","Chaque image a-t-elle une alternative textuelle ?","1.1","1",,"1","1"
"2","Rgaa32017-1-2","Pour chaque image de décoration ayant une alternative textuelle, cette alternative est-elle vide ?","1.2","2",,"1","1"
"3","Rgaa32017-1-3","Pour chaque image porteuse dinformation ayant une alternative textuelle, cette alternative est-elle pertinente (hors cas particuliers) ?","1.3","3",,"1","1"
"4","Rgaa32017-1-4","Pour chaque image utilisée comme CAPTCHA ou comme image-test, ayant une alternative textuelle, cette alternative permet-elle didentifier la nature et la fonction de limage ?","1.4","4",,"1","1"
"5","Rgaa32017-1-5","Pour chaque image utilisée comme CAPTCHA, une solution daccès alternatif au contenu ou à la fonction du CAPTCHA est-elle présente ?","1.5","5",,"1","1"
"6","Rgaa32017-1-6","Chaque image porteuse dinformation a-t-elle, si nécessaire, une description détaillée ?","1.6","6",,"1","1"
"7","Rgaa32017-1-7","Pour chaque image porteuse dinformation ayant une description détaillée, cette description est-elle pertinente ?","1.7","7",,"1","1"
"8","Rgaa32017-1-8","Chaque image texte, en labsence dun mécanisme de remplacement, doit si possible être remplacée par du texte stylé. Cette règle est-elle respectée (hors cas particuliers) ?","1.8","8",,"1","1"
"9","Rgaa32017-1-9","Chaque image texte doit si possible être remplacée par du texte stylé. Cette règle est-elle respectée (hors cas particuliers) ?","1.9","9",,"1","1"
"10","Rgaa32017-1-10","Chaque légende dimage est-elle, si nécessaire, correctement reliée à limage correspondante ?","1.10","10",,"1","1"
"11","Rgaa32017-2-1","Chaque cadre en ligne a-t-il un titre de cadre ?","2.1","11",,"1","2"
"12","Rgaa32017-2-2","Pour chaque cadre en ligne ayant un titre de cadre, ce titre de cadre est-il pertinent ?","2.2","12",,"1","2"
"13","Rgaa32017-3-1","Dans chaque page Web, linformation ne doit pas être donnée uniquement par la couleur. Cette règle est-elle respectée ?","3.1","13",,"1","3"
"14","Rgaa32017-3-2","Dans chaque page Web, linformation ne doit pas être donnée uniquement par la couleur. Cette règle est-elle implémentée de façon pertinente ?","3.2","14",,"1","3"
"15","Rgaa32017-3-3","Dans chaque page Web, le contraste entre la couleur du texte et la couleur de son arrière-plan est-il suffisamment élevé (hors cas particuliers) ?","3.3","15",,"1","3"
"16","Rgaa32017-3-4","Dans chaque page Web, le contraste entre la couleur du texte et la couleur de son arrière-plan est-il amélioré (hors cas particuliers) ?","3.4","16",,"1","3"
"17","Rgaa32017-4-1","Chaque média temporel pré-enregistré a-t-il, si nécessaire, une transcription textuelle ou une audio-description (hors cas particuliers) ?","4.1","17",,"1","4"
