"Id_Criterion","Cd_Criterion","Description","Label","Rank","Url","Reference_Id_Reference","Theme_Id_Theme"
"204","Rgaa42019-1-1","Chaque image porteuse dinformation a-t-elle une alternative textuelle ?","1.1","1",,"2","15"
"205","Rgaa42019-1-2","Chaque image de décoration est-elle correctement ignorée par les technologies dassistance ?","1.2","2",,"2","15"
"206","Rgaa42019-1-3","Pour chaque image porteuse dinformation ayant une alternative textuelle, cette alternative est-elle pertinente (hors cas particuliers) ?","1.3","3",,"2","15"
"207","Rgaa42019-1-4","Pour chaque image utilisée comme CAPTCHA ou comme image-test, ayant une alternative textuelle, cette alternative permet-elle didentifier la nature et la fonction de limage ?","1.4","4",,"2","15"
"208","Rgaa42019-1-5","Pour chaque image utilisée comme CAPTCHA, une solution daccès alternatif au contenu ou à la fonction du CAPTCHA est-elle présente ?","1.5","5",,"2","15"
"209","Rgaa42019-1-6","Chaque image porteuse dinformation a-t-elle, si nécessaire, une description détaillée ?","1.6","6",,"2","15"
"210","Rgaa42019-1-7","Pour chaque image porteuse dinformation ayant une description détaillée, cette description est-elle pertinente ?","1.7","7",,"2","15"
"211","Rgaa42019-1-8","Chaque image texte porteuse dinformation, en labsence dun mécanisme de remplacement, doit si possible être remplacée par du texte stylé. Cette règle est-elle respectée (hors cas particuliers) ?","1.8","8",,"2","15"
"212","Rgaa42019-1-9","Chaque légende dimage est-elle, si nécessaire, correctement reliée à limage correspondante ?","1.9","9",,"2","15"
"213","Rgaa42019-2-1","Chaque cadre a-t-il un titre de cadre ?","2.1","10",,"2","16"
"214","Rgaa42019-2-2","Pour chaque cadre ayant un titre de cadre, ce titre de cadre est-il pertinent ?","2.2","11",,"2","16"
"215","Rgaa42019-3-1","Dans chaque page web, linformation ne doit pas être donnée uniquement par la couleur. Cette règle est-elle respectée ?","3.1","12",,"2","17"
"216","Rgaa42019-3-2","Dans chaque page web, le contraste entre la couleur du texte et la couleur de son arrière-plan est-il suffisamment élevé (hors cas particuliers) ?","3.2","13",,"2","17"
"217","Rgaa42019-3-3","Dans chaque page web, les couleurs utilisées dans les composants dinterface ou les éléments graphiques porteurs dinformations sont-elles suffisamment contrastées (hors cas particuliers) ?","3.3","14",,"2","17"
"218","Rgaa42019-4-1","Chaque média temporel pré-enregistré a-t-il, si nécessaire, une transcription textuelle ou une audiodescription (hors cas particuliers) ?","4.1","15",,"2","18"
"219","Rgaa42019-4-2","Pour chaque média temporel pré-enregistré ayant une transcription textuelle ou une audiodescription synchronisée, celles-ci sont-elles pertinentes (hors cas particuliers) ?","4.2","16",,"2","18"
"220","Rgaa42019-4-3","Chaque média temporel synchronisé pré-enregistré a-t-il, si nécessaire, des sous-titres synchronisés (hors cas particuliers) ?","4.3","17",,"2","18"
"221","Rgaa42019-4-4","Pour chaque média temporel synchronisé pré-enregistré ayant des sous-titres synchronisés, ces sous-titres sont-ils pertinents ?","4.4","18",,"2","18"
"222","Rgaa42019-4-5","Chaque média temporel pré-enregistré a-t-il, si nécessaire, une audiodescription synchronisée (hors cas particuliers) ?","4.5","19",,"2","18"
"223","Rgaa42019-4-6","Pour chaque média temporel pré-enregistré ayant une audiodescription synchronisée, celle-ci est-elle pertinente ?","4.6","20",,"2","18"
"224","Rgaa42019-4-7","Chaque média temporel est-il clairement identifiable (hors cas particuliers) ?","4.7","21",,"2","18"
"225","Rgaa42019-4-8","Chaque média non temporel a-t-il, si nécessaire, une alternative (hors cas particuliers) ?","4.8","22",,"2","18"
"226","Rgaa42019-4-9","Pour chaque média non temporel ayant une alternative, cette alternative est-elle pertinente ?","4.9","23",,"2","18"
"227","Rgaa42019-4-10","Chaque son déclenché automatiquement est-il contrôlable par lutilisateur ?","4.10","24",,"2","18"
"228","Rgaa42019-4-11","La consultation de chaque média temporel est-elle, si nécessaire, contrôlable par le clavier et tout dispositif de pointage ?","4.11","25",,"2","18"
"229","Rgaa42019-4-12","La consultation de chaque média non temporel est-elle contrôlable par le clavier et tout dispositif de pointage ?","4.12","26",,"2","18"
"230","Rgaa42019-4-13","Chaque média temporel et non temporel est-il compatible avec les technologies dassistance (hors cas particuliers) ?","4.13","27",,"2","18"
"231","Rgaa42019-5-1","Chaque tableau de données complexe a-t-il un résumé ?","5.1","28",,"2","19"
"232","Rgaa42019-5-2","Pour chaque tableau de données complexe ayant un résumé, celui-ci est-il pertinent ?","5.2","29",,"2","19"
"233","Rgaa42019-5-3","Pour chaque tableau de mise en forme, le contenu linéarisé reste-t-il compréhensible (hors cas particuliers) ?","5.3","30",,"2","19"
"234","Rgaa42019-5-4","Chaque passage de texte faisant office de titre de tableau de données est-il correctement associé au tableau de données ?","5.4","31",,"2","19"
"235","Rgaa42019-5-5","Pour chaque tableau de données ayant un titre, celui-ci est-il pertinent ?","5.5","32",,"2","19"
"236","Rgaa42019-5-6","Pour chaque tableau de données, chaque en-tête de colonnes et chaque en-tête de lignes sont-ils correctement déclarés ?","5.6","33",,"2","19"
"237","Rgaa42019-5-7","Pour chaque tableau de données, la technique appropriée permettant dassocier chaque cellule avec ses en-têtes est-elle utilisée (hors cas particuliers) ?","5.7","34",,"2","19"
"238","Rgaa42019-5-8","Chaque tableau de mise en forme ne doit pas utiliser déléments propres aux tableaux de données. Cette règle est-elle respectée ?","5.8","35",,"2","19"
"239","Rgaa42019-6-1","Chaque lien est-il explicite (hors cas particuliers) ?","6.1","36",,"2","20"
"240","Rgaa42019-6-2","Dans chaque page web, chaque lien, à lexception des ancres, a-t-il un intitulé ?","6.2","37",,"2","20"
"241","Rgaa42019-7-1","Chaque script est-il, si nécessaire, compatible avec les technologies dassistance ?","7.1","38",,"2","21"
"242","Rgaa42019-7-2","Pour chaque script ayant une alternative, cette alternative est-elle pertinente ?","7.2","39",,"2","21"
"243","Rgaa42019-7-3","Chaque script est-il contrôlable par le clavier et par tout dispositif de pointage (hors cas particuliers) ?","7.3","40",,"2","21"
"244","Rgaa42019-7-4","Pour chaque script qui initie un changement de contexte, lutilisateur est-il averti ou en a-t-il le contrôle ?","7.4","41",,"2","21"
"245","Rgaa42019-7-5","Dans chaque page web, les messages de statut sont-ils correctement restitués par les technologies dassistance ?","7.5","42",,"2","21"
"246","Rgaa42019-8-1","Chaque page web est-elle définie par un type de document ?","8.1","43",,"2","22"
"247","Rgaa42019-8-2","Pour chaque page web, le code source est-il valide selon le type de document spécifié (hors cas particuliers) ? ","8.2","44",,"2","22"
"248","Rgaa42019-8-3","Dans chaque page web, la langue par défaut est-elle présente ?","8.3","45",,"2","22"
"249","Rgaa42019-8-4","Pour chaque page web ayant une langue par défaut, le code de langue est-il pertinent ?","8.4","46",,"2","22"
"250","Rgaa42019-8-5","Chaque page web a-t-elle un titre de page ?","8.5","47",,"2","22"
"251","Rgaa42019-8-6","Pour chaque page web ayant un titre de page, ce titre est-il pertinent ?","8.6","48",,"2","22"
"252","Rgaa42019-8-7","Dans chaque page web, chaque changement de langue est-il indiqué dans le code source (hors cas particuliers) ?","8.7","49",,"2","22"
"253","Rgaa42019-8-8","Dans chaque page web, le code de langue de chaque changement de langue est-il valide et pertinent ?","8.8","50",,"2","22"
"254","Rgaa42019-8-9","Dans chaque page web, les balises ne doivent pas être utilisées uniquement à des fins de présentation. Cette règle est-elle respectée ?","8.9","51",,"2","22"
"255","Rgaa42019-8-10","Dans chaque page web, les changements du sens de lecture sont-ils signalés ?","8.10","52",,"2","22"
"256","Rgaa42019-9-1","Dans chaque page web, linformation est-elle structurée par lutilisation appropriée de titres ?","9.1","53",,"2","23"
"257","Rgaa42019-9-2","Dans chaque page web, la structure du document est-elle cohérente (hors cas particuliers) ?","9.2","54",,"2","23"
"258","Rgaa42019-9-3","Dans chaque page web, chaque liste est-elle correctement structurée ?","9.3","55",,"2","23"
"259","Rgaa42019-9-4","Dans chaque page web, chaque citation est-elle correctement indiquée ?","9.4","56",,"2","23"
"260","Rgaa42019-10-1","Dans le site web, des feuilles de styles sont-elles utilisées pour contrôler la présentation de linformation ?","10.1","57",,"2","24"
"261","Rgaa42019-10-2","Dans chaque page web, le contenu visible reste-t-il présent lorsque les feuilles de styles sont désactivées ?","10.2","58",,"2","24"
"262","Rgaa42019-10-3","Dans chaque page web, linformation reste-t-elle compréhensible lorsque les feuilles de styles sont désactivées ?","10.3","59",,"2","24"
"263","Rgaa42019-10-4","Dans chaque page web, le texte reste-t-il lisible lorsque la taille des caractères est augmentée jusqu à 200%, au moins (hors cas particuliers) ?","10.4","60",,"2","24"
"264","Rgaa42019-10-5","Dans chaque page web, les déclarations CSS de couleurs de fond d élément et de police sont-elles correctement utilisées?","10.5","61",,"2","24"
"265","Rgaa42019-10-6","Dans chaque page web, chaque lien dont la nature nest pas évidente est-il visible par rapport au texte environnant ?","10.6","62",,"2","24"
"266","Rgaa42019-10-7","Dans chaque page web, pour chaque élément recevant le focus, la prise de focus est-elle visible ?","10.7","63",,"2","24"
"267","Rgaa42019-10-8","Pour chaque page web, les contenus cachés ont-ils vocation à être ignorés par les technologies dassistance ?","10.8","64",,"2","24"
"268","Rgaa42019-10-9","Dans chaque page web, linformation ne doit pas être donnée uniquement par la forme, taille ou position. Cette règle est-elle respectée ?","10.9","65",,"2","24"
"269","Rgaa42019-10-10","Dans chaque page web, linformation ne doit pas être donnée par la forme, taille ou position uniquement. Cette règle est-elle implémentée de façon pertinente ?","10.10","66",,"2","24"
"270","Rgaa42019-10-11","Pour chaque page web, les contenus peuvent-ils être présentés sans avoir recours à la fois à un défilement vertical et horizontal (hors cas particuliers) ?","10.11","67",,"2","24"
"271","Rgaa42019-10-12","Dans chaque page web, les propriétés despacement du texte peuvent-elles être redéfinies par lutilisateur sans perte de contenu ou de fonctionnalité (hors cas particuliers) ?","10.12","68",,"2","24"
"272","Rgaa42019-10-13","Dans chaque page web, les contenus additionnels apparaissant à la prise de focus ou au survol dun composant dinterface sont-ils contrôlables par lutilisateur (hors cas particuliers) ?","10.13","69",,"2","24"
"273","Rgaa42019-10-14","Dans chaque page web, les contenus additionnels apparaissant via les styles CSS uniquement peuvent-ils être rendus visibles au clavier et par tout dispositif de pointage ?","10.14","70",,"2","24"
"274","Rgaa42019-11-1","Chaque champ de formulaire a-t-il une étiquette ?","11.1","71",,"2","25"
"275","Rgaa42019-11-2","Chaque étiquette associée à un champ de formulaire est-elle pertinente (hors cas particuliers)?","11.2","72",,"2","25"
"276","Rgaa42019-11-3","Dans chaque formulaire, chaque étiquette associée à un champ de formulaire ayant la même fonction et répété plusieurs fois dans une même page ou dans un ensemble de pages est-elle cohérente ?","11.3","73",,"2","25"
"277","Rgaa42019-11-4","Dans chaque formulaire, chaque étiquette de champ et son champ associé sont-ils accolés (hors cas particuliers) ?","11.4","74",,"2","25"
"278","Rgaa42019-11-5","Dans chaque formulaire, les champs de même nature sont-ils regroupées, si nécessaire ?","11.5","75",,"2","25"
"279","Rgaa42019-11-6","Dans chaque formulaire, chaque regroupement de champs de formulaire a-t-il une légende ?","11.6","76",,"2","25"
"280","Rgaa42019-11-7","Dans chaque formulaire, chaque légende associée à un regroupement de champs de même nature est-elle pertinente ?","11.7","77",,"2","25"
"281","Rgaa42019-11-8","Dans chaque formulaire, les items de même nature dune liste de choix sont-ils regroupées de manière pertinente ?","11.8","78",,"2","25"
"282","Rgaa42019-11-9","Dans chaque formulaire, lintitulé de chaque bouton est-il pertinent (hors cas particuliers) ?","11.9","79",,"2","25"
"283","Rgaa42019-11-10","Dans chaque formulaire, le contrôle de saisie est-il utilisé de manière pertinente (hors cas particuliers) ?","11.10","80",,"2","25"
"284","Rgaa42019-11-11","Dans chaque formulaire, le contrôle de saisie est-il accompagné, si nécessaire, de suggestions facilitant la correction des erreurs de saisie ?","11.11","81",,"2","25"
"285","Rgaa42019-11-12","Pour chaque formulaire dont la validation a des conséquences financières, juridiques, qui modifient ou suppriment des données ou transmettent des réponses à un test ou un examen, la saisie des données vérifie-t-elle une de ces conditions ?","11.12","82",,"2","25"
"286","Rgaa42019-11-13","La finalité dun champ de saisie peut-elle être déduite pour faciliter le remplissage automatique des champs avec les données de lutilisateur ?","11.13","83",,"2","25"
