"Id_Theme","Cd_Theme","Description","Label","Rank"
"15","Rgaa42019-1",NULL,"Images","1"
"16","Rgaa42019-2",NULL,"Cadres","2"
"17","Rgaa42019-3",NULL,"Couleurs","3"
"18","Rgaa42019-4",NULL,"Multimédia","4"
"19","Rgaa42019-5",NULL,"Tableaux","5"
"20","Rgaa42019-6",NULL,"Liens","6"
"21","Rgaa42019-7",NULL,"Scripts","7"
"22","Rgaa42019-8",NULL,"Éléments Obligatoires","8"
"23","Rgaa42019-9",NULL,"Structuration de l’information","9"
"24","Rgaa42019-10",NULL,"Présentation de l’information","10"
"25","Rgaa42019-11",NULL,"Formulaires","11"
"26","Rgaa42019-12",NULL,"Navigation","12"
"27","Rgaa42019-13",NULL,"Consultation","13"
